address,block,street_name,lat_long
860 YISHUN AVENUE 4,860,YISHUN AVE 4,"1.41756495, 103.84001618723437"
214 BUKIT BATOK STREET 21,214,BT BATOK ST 21,"1.3473242, 103.75292058070869"
424 ANG MO KIO AVENUE 3,424,ANG MO KIO AVE 3,"Error: Road retrieved. Returned address Ang Mo Kio Avenue 3, Ang Mo Kio, Singapore, Central, 560564, Singapore"
540 PASIR RIS STREET 51,540,PASIR RIS ST 51,"1.3693677, 103.95073800933028"
299A COMPASSVALE STREET,299A,COMPASSVALE ST,"Error: Road retrieved. Returned address Compassvale Street, Seng Kang, Northeast, 540294, Singapore"
218 TAMPINES STREET 24,218,TAMPINES ST 24,"1.3543792, 103.95251703996152"
333C YISHUN STREET 31,333C,YISHUN ST 31,"1.4318961, 103.84579636256123"
149 BEDOK RESERVOIR ROAD,149,BEDOK RESERVOIR RD,"1.3357412, 103.91273053977886"
979B BUANGKOK CRESCENT,979B,BUANGKOK CRES,"Error: Road retrieved. Returned address Buangkok Crescent, Hougang, Northeast, 536980, Singapore"
184 STIRLING ROAD,184,STIRLING RD,"Error: Not Singapore. Returned address Stirling Road, Berea, Buffalo City Ward 18, East London, Buffalo City Metropolitan Municipality, Eastern Cape, 5241, South Africa"
470 ANG MO KIO AVENUE 10,470,ANG MO KIO AVE 10,"Error: Road retrieved. Returned address Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560449, Singapore"
308B PUNGGOL WALK,308B,PUNGGOL WALK,"1.40770155, 103.89981713215607"
127 RIVERVALE STREET,127,RIVERVALE ST,"1.3905096000000001, 103.90240847297922"
318D ANCHORVALE LINK,318D,ANCHORVALE LINK,"1.39310675, 103.88952716487412"
642 BUKIT BATOK CENTRAL,642,BT BATOK CTRL,"1.3489141, 103.75181402713223"
115 BUKIT MERAH CENTRAL,115,BT MERAH CTRL,"Error: Road retrieved. Returned address Bukit Merah Central, Bukit Merah, Singapore, Central, 150166, Singapore"
44 CHAI CHEE STREET,44,CHAI CHEE ST,"1.32900105, 103.92572373290868"
217 CHOA CHU KANG CENTRAL,217,CHOA CHU KANG CTRL,"1.3832, 103.74637005480943"
168A PUNGGOL EAST,168A,PUNGGOL EAST,"1.39462075, 103.91425026165342"
324 SEMBAWANG CLOSE,324,SEMBAWANG CL,"Error: Road retrieved. Returned address Sembawang Close, Sun Trellis, Sembawang, Northwest, 750333, Singapore"
893 TAMPINES AVENUE 8,893,TAMPINES AVE 8,"1.34856795, 103.9301111746772"
325 WOODLANDS STREET 32,325,WOODLANDS ST 32,"1.4308033, 103.77924257664475"
470 SEGAR ROAD,470,SEGAR RD,"Error: Road retrieved. Returned address Segar Road, Bukit Panjang, Northwest, 677738, Singapore"
163 STIRLING ROAD,163,STIRLING RD,"Error: Not Singapore. Returned address Stirling Road, Berea, Buffalo City Ward 18, East London, Buffalo City Metropolitan Municipality, Eastern Cape, 5241, South Africa"
91 COMMONWEALTH DRIVE,91,C'WEALTH DR,"1.3058242999999998, 103.79972818191033"
36 MOH GUAN TERRACE,36,MOH GUAN TER,"Error: Road retrieved. Returned address Moh Guan Terrace, Tiong Bahru Estate, Bukit Merah, Singapore, Central, 169715, Singapore"
475 SEMBAWANG DRIVE,475,SEMBAWANG DR,"1.45109195, 103.81712870323912"
203 BISHAN STREET 23,203,BISHAN ST 23,"1.3546121, 103.84735022096199"
167 STIRLING ROAD,167,STIRLING RD,"Error: Not Singapore. Returned address Stirling Road, Berea, Buffalo City Ward 18, East London, Buffalo City Metropolitan Municipality, Eastern Cape, 5241, South Africa"
502 SERANGOON NORTH AVENUE 4,502,SERANGOON NTH AVE 4,"Error: Road retrieved. Returned address Serangoon North Avenue 4, Ang Mo Kio Industrial Park 2, Serangoon North, Singapore, Central, 555859, Singapore"
1 CHANGI VILLAGE ROAD,1,CHANGI VILLAGE RD,"1.3885279, 103.9876314"
202 CHOA CHU KANG AVENUE 1,202,CHOA CHU KANG AVE 1,"1.3819332, 103.74924236953562"
254 SIMEI STREET 1,254,SIMEI ST 1,"1.34189855, 103.95197453173336"
101 BISHAN STREET 12,101,BISHAN ST 12,"Error: Road retrieved. Returned address Bishan Street 12, Bishan, Singapore, Central, 570139, Singapore"
846 SIMS AVENUE,846,SIMS AVE,"1.3174807, 103.90154749445695"
155 RIVERVALE CRESCENT,155,RIVERVALE CRES,"1.39071715, 103.90736646969444"
407B FERNVALE ROAD,407B,FERNVALE RD,"1.3889425000000002, 103.87521398587918"
874 TAMPINES STREET 84,874,TAMPINES ST 84,"1.3536584, 103.93199301734761"
122 YISHUN STREET 11,122,YISHUN ST 11,"Error: Road retrieved. Returned address Yishun Street 11, Yishun, Northwest, 768643, Singapore"
275 BANGKIT ROAD,275,BANGKIT RD,"1.37684845, 103.77481623371139"
32 JALAN BAHAGIA,32,JLN BAHAGIA,"1.3260908, 103.85826130493585"
437 WOODLANDS STREET 41,437,WOODLANDS ST 41,"1.4269858, 103.77474179863995"
125 BUKIT MERAH VIEW,125,BT MERAH VIEW,"1.2850406, 103.82379973622159"
358 CLEMENTI AVENUE 2,358,CLEMENTI AVE 2,"1.3135568, 103.76914406286508"
271 PASIR RIS STREET 21,271,PASIR RIS ST 21,"1.36576245, 103.96436835211462"
7 LORONG LEW LIAN,7,LOR LEW LIAN,"1.3492038499999999, 103.87701555000001"
